name,category_list,market,status,country_code,city,Cluster,SubCluster,SubCluster_Name,funding_total_usd,funding_rounds,early_stage_funding,venture,debt_financing,private_equity,stage_level,early_stage_funding_ratio,venture_ratio,debt_financing_ratio,private_equity_ratio
LaZure Scientific,|Hardware + Software|, Hardware + Software ,operating,USA,Issaquah,0,1,Small / early venture-backed,5160595.0,2.0,0.0,3146590.0,0.0,0.0,0,0.0,0.6097339550962632,0.0,0.0
Lazy Angel,|Advertising|, Advertising ,operating,USA,Colorado Springs,0,1,Small / early venture-backed,59000.0,1.0,0.0,59000.0,0.0,0.0,0,0.0,1.0,0.0,0.0
Lánzanos,|Project Management|Finance|, Finance ,operating,ESP,Ciudad Real,0,2,Small seed-stage,320125.0,1.0,320125.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LÃ©a et LÃ©o,|Enterprise Software|, Enterprise Software ,operating,FRA,Hérouville-saint-clair,0,1,Small / early venture-backed,674000.0,1.0,0.0,674000.0,0.0,0.0,0,0.0,1.0,0.0,0.0
LBE Security Master,|Security|, Security ,operating,CHN,,0,1,Small / early venture-backed,10000000.0,1.0,0.0,10000000.0,0.0,0.0,1,0.0,1.0,0.0,0.0
LC E-Commerce Solutions,|Software|, Software ,operating,USA,Lewiston,0,1,Small / early venture-backed,500000.0,1.0,0.0,500000.0,0.0,0.0,0,0.0,1.0,0.0,0.0
LC Style.com,|Fashion|, Fashion ,operating,,,0,1,Small / early venture-backed,151515.0,1.0,0.0,151515.0,0.0,0.0,0,0.0,1.0,0.0,0.0
Le Cicogne,|Curated Web|, Curated Web ,operating,ITA,Rome,0,0,Early-stage multi-round,286241.0,3.0,286241.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
Le Floch Depollution,|Clean Technology|, Clean Technology ,operating,FRA,Saint-martin-des-champs,0,1,Small / early venture-backed,15530000.0,1.0,0.0,15530000.0,0.0,0.0,1,0.0,1.0,0.0,0.0
Le Lutin rouge.com,|Curated Web|, Curated Web ,operating,,,0,1,Small / early venture-backed,4950720.0,1.0,0.0,4950720.0,0.0,0.0,0,0.0,1.0,0.0,0.0
Lea(R)n,|Education|, Education ,operating,USA,Raleigh,0,2,Small seed-stage,20000.0,1.0,20000.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
LeadCloud,|Advertising|, Advertising ,operating,USA,Ellicott City,0,1,Small / early venture-backed,1000000.0,1.0,0.0,1000000.0,0.0,0.0,1,0.0,1.0,0.0,0.0
Leader Tech (Beijing) Digital Technology,|Web Hosting|Networking|, Networking ,operating,CHN,Beijing,0,1,Small / early venture-backed,2796478.0,1.0,0.0,2796478.0,0.0,0.0,1,0.0,1.0,0.0,0.0
