name,category_list,market,funding_total_usd,status,country_code,city,funding_rounds,founded_at,first_funding_at,last_funding_at,venture,debt_financing,private_equity,stage_level,early_stage_funding,early_stage_funding_ratio,venture_ratio,debt_financing_ratio,private_equity_ratio,log_funding_total_usd,log_funding_rounds,log_early_stage_funding,log_venture,log_debt_financing,log_private_equity,SubCluster
Hyper Urban Level User Sweden,|Manufacturing|, Manufacturing ,336000.0,operating,SWE,Stockholm,1.0,2004-01-01,2008-03-27,2008-03-27,336000.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,12.724869415131389,0.6931471805599453,0.0,12.724869415131389,0.0,0.0,1
Hyperactive Media,|News|Creative|Fashion|, News ,671800.0,operating,DEU,Berlin,1.0,2007-06-27,2007-06-01,2007-06-01,0.0,0.0,0.0,0,671800.0,1.0,0.0,0.0,0.0,13.417717444697477,0.6931471805599453,13.417717444697477,0.0,0.0,0.0,2
HyperBees,|Publishing|Games|Monetization|Mobile|, Mobile ,110000.0,operating,GBR,London,1.0,2010-01-01,2012-06-01,2012-06-01,0.0,0.0,0.0,0,110000.0,1.0,0.0,0.0,0.0,11.608244735642321,0.6931471805599453,11.608244735642321,0.0,0.0,0.0,2
Hypercontext,|Curated Web|, Curated Web ,235536.0,operating,POL,Gdansk,1.0,2008-01-01,2008-01-01,2008-01-01,0.0,0.0,0.0,0,235536.0,1.0,0.0,0.0,0.0,12.369623292624269,0.6931471805599453,12.369623292624269,0.0,0.0,0.0,2
Hypereight,|Mobile|Games|, Games ,60000.0,operating,,,1.0,2013-05-01,2013-07-13,2013-07-13,0.0,0.0,0.0,0,60000.0,1.0,0.0,0.0,0.0,11.002116507732017,0.6931471805599453,11.002116507732017,0.0,0.0,0.0,2
Hyperfair,|3D|Curated Web|, 3D ,2800000.0,operating,USA,San Francisco,2.0,2010-01-01,2012-12-01,2014-02-13,0.0,0.0,0.0,0,2800000.0,1.0,0.0,0.0,0.0,14.845130332288226,1.0986122886681098,14.845130332288226,0.0,0.0,0.0,0
Hyperink,|Advertising|, Advertising ,1200000.0,acquired,USA,San Francisco,1.0,,2011-10-27,2011-10-27,1200000.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,13.997832948091215,0.6931471805599453,0.0,13.997832948091215,0.0,0.0,1
Hyperlite Mountain Gear,|E-Commerce|, E-Commerce ,1028880.0,operating,USA,Biddeford Pool,2.0,2009-01-01,2010-11-09,2014-08-14,1028880.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,13.84398236187014,1.0986122886681098,0.0,13.84398236187014,0.0,0.0,1
Hyperpot,|Software|, Software ,550000.0,operating,USA,New York,2.0,2008-12-05,2008-06-03,2008-08-12,0.0,0.0,0.0,0,550000.0,1.0,0.0,0.0,0.0,13.217675375388819,1.0986122886681098,13.217675375388819,0.0,0.0,0.0,0
Hyperpublic,|Search|Ediscovery|Local|Analytics|, Local ,1150000.0,,USA,New York,2.0,,2009-05-09,2010-09-01,0.0,0.0,0.0,0,1150000.0,1.0,0.0,0.0,0.0,13.955273369904273,1.0986122886681098,13.955273369904273,0.0,0.0,0.0,0
HyperStealth Biotechnology,|Biotechnology|, Biotechnology ,19654.0,operating,,,1.0,1999-03-01,2013-06-26,2013-06-26,0.0,0.0,0.0,0,19654.0,1.0,0.0,0.0,0.0,9.88608703785596,0.6931471805599453,9.88608703785596,0.0,0.0,0.0,2
HyperWeek,|Web Tools|Social Media|, Web Tools ,1163213.0,operating,CHE,Geneva,4.0,2009-01-01,2008-11-28,2012-04-01,0.0,0.0,0.0,0,1163213.0,1.0,0.0,0.0,0.0,13.966697421452373,1.6094379124341003,13.966697421452373,0.0,0.0,0.0,0
Hyphen 8,|Curated Web|, Curated Web ,100000.0,closed,USA,San Francisco,1.0,,2007-10-01,2007-10-01,0.0,0.0,0.0,0,100000.0,1.0,0.0,0.0,0.0,11.51293546492023,0.6931471805599453,11.51293546492023,0.0,0.0,0.0,2
Hypios,|Health and Wellness|Education|Collaboration|World Domination|Curated Web|, Collaboration ,3581700.0,operating,FRA,Paris,4.0,2008-04-03,2008-01-01,2011-06-15,0.0,0.0,0.0,0,3581700.0,1.0,0.0,0.0,0.0,15.09134838519858,1.6094379124341003,15.09134838519858,0.0,0.0,0.0,0
Hypori,|Software|, Software ,500000.0,operating,USA,Austin,1.0,2012-01-01,2014-07-23,2014-07-23,0.0,0.0,0.0,0,500000.0,1.0,0.0,0.0,0.0,13.122365377402328,0.6931471805599453,13.122365377402328,0.0,0.0,0.0,2
Hytle,|Software|Education|Curated Web|, Curated Web ,25000.0,closed,,,1.0,2009-04-01,2009-04-01,2009-04-01,0.0,0.0,0.0,0,25000.0,1.0,0.0,0.0,0.0,10.12667110305036,0.6931471805599453,10.12667110305036,0.0,0.0,0.0,2
I AM AT,|Event Management|Real Time|Broadcasting|Consumer Electronics|Games|, Event Management ,53980.0,operating,ARG,Buenos Aires,1.0,2012-05-01,2012-10-01,2012-10-01,0.0,0.0,0.0,0,53980.0,1.0,0.0,0.0,0.0,10.896387411780173,0.6931471805599453,10.896387411780173,0.0,0.0,0.0,2
I Am Smart Technology,|Hardware + Software|, Hardware + Software ,752000.0,closed,USA,Denver,2.0,2008-01-14,2008-01-19,2011-08-25,2000.0,0.0,0.0,0,750000.0,0.9973404255319149,0.0026595744680851063,0.0,0.0,13.530492932718326,1.0986122886681098,13.527829818844937,7.601402334583733,0.0,0.0,0
"I AND C-Cruise.Co,Ltd.",|Clean Technology|, Clean Technology ,346481.0,operating,JPN,Minato,3.0,2008-06-13,2010-01-27,2013-04-02,307377.0,0.0,0.0,1,39104.0,0.11286044545011126,0.8871395545498887,0.0,0.0,12.7555861482108,1.3862943611198906,10.574005615035713,12.635833539535932,0.0,0.0,0
I Do Now I Don't,|Fashion|, Fashion ,57500.0,operating,USA,New York,1.0,2007-01-01,2010-04-12,2010-04-12,57500.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,10.959557617938563,0.6931471805599453,0.0,10.959557617938563,0.0,0.0,1
I Had Cancer,|Health and Wellness|Networking|Social Media|, Health and Wellness ,750000.0,operating,USA,New York,1.0,,2011-07-01,2011-07-01,0.0,0.0,0.0,0,750000.0,1.0,0.0,0.0,0.0,13.527829818844937,0.6931471805599453,13.527829818844937,0.0,0.0,0.0,2
I Just Shared,|Social Media|, Social Media ,200000.0,closed,USA,Santa Monica,1.0,2010-08-06,2010-11-01,2010-11-01,0.0,0.0,0.0,0,200000.0,1.0,0.0,0.0,0.0,12.206077645517674,0.6931471805599453,12.206077645517674,0.0,0.0,0.0,2
I Like My Waitress,|Apps|, Apps ,25000.0,acquired,,,1.0,2014-07-01,2014-07-01,2014-07-01,0.0,0.0,0.0,0,25000.0,1.0,0.0,0.0,0.0,10.12667110305036,0.6931471805599453,10.12667110305036,0.0,0.0,0.0,2
